hotel_name,name,rating,review
Mahima Hotel Semarang,Siera Rozaanah,4.0,"Almost everything is fine and nice, except the bathroom's interior which is inconvenient for kids 👍🙏"
Mahima Hotel Semarang,yonita ersalina,5.0,Good services🙌🏼
Mahima Hotel Semarang,Muhammad Syarifuddin Said,5.0,The best.. hospitality.. kami happy.. thanks a lot
Mahima Hotel Semarang,Oky Sjahrul,5.0,Great place to stay..Near exit Toll KrapyakNear Airport
Mahima Hotel Semarang,Irwan Noermansyah,5.0,GoodRooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Mahima Hotel Semarang,Henni Taslim,5.0,"New budget hotel in Semarang, quite cozy, good and clean.."
Mahima Hotel Semarang,Erry Noviyanto,4.0,Nice and cozy..Rooms: 4/5 | Service: 4/5 | Location: 4/5 …More
Mahima Hotel Semarang,Agsf rum,4.0,Minimalist style hotel. Clean and good place
Mahima Hotel Semarang,Handono Widjaja,5.0,"Clean, friendly serve, moderate price"
Mahima Hotel Semarang,R Indrawan,5.0,"Good services, clean and comfy"
Mahima Hotel Semarang,Ikhwanu Hadi,4.0,"The Concept is good, however there are nothing perfect."
Mahima Hotel Semarang,Asti Soemaatmadja,5.0,Good in this way
Mahima Hotel Semarang,Dian Kurniasari,5.0,Right choice for the business trip. Clean. A new one.
Mahima Hotel Semarang,Frederikuz Angga,5.0,Comeback again 💙Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Mahima Hotel Semarang,aadh' ntt,4.0,ReccomendedRooms: 5/5 | Service: 4/5 | Location: 3/5 …More
Mahima Hotel Semarang,Agung M Yono Fabian,5.0,Ok
Mahima Hotel Semarang,galau grafita,5.0,Good job
Mahima Hotel Semarang,Mansago DMC,5.0,Experience never be missed
Mahima Hotel Semarang,J lastiyan,5.0,Nice
Mahima Hotel Semarang,Dian Agus Maryanto [diagma],5.0,Nice place and recomended
Mahima Hotel Semarang,Aneba Eka Prasetya,5.0,Nice stay and pleasure
Mahima Hotel Semarang,Lingga Kusuma,4.0,Good enough
Mahima Hotel Semarang,khelly chan,5.0,Nice placesRooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Mahima Hotel Semarang,Bowie Aksan,5.0,Ok
Mahima Hotel Semarang,Adi Nugroho,5.0,Value for money
Mahima Hotel Semarang,Adrianus Marwin,5.0,Nice place for transit
Mahima Hotel Semarang,Firdaus Hakim,4.0,Good
Mahima Hotel Semarang,Tri Mulyanto,5.0,Excellent
Mahima Hotel Semarang,PRABU WIJAYA 12,1.0,Males
Mahima Hotel Semarang,Arishvara Van Java,4.0,Nice
Mahima Hotel Semarang,Masrury Satya,4.0,Good
Mahima Hotel Semarang,Bandiet Cs,5.0,Ok
Mahima Hotel Semarang,Yanuar Handoko,5.0,Good hotel
Mahima Hotel Semarang,Delz “Mau Mamam” Adventure,5.0,Cheap and clean hotel
Mahima Hotel Semarang,Eko Setyo Wicaksono,5.0,Good Hotel 😊
Mahima Hotel Semarang,labibah _,3.0,ok
Mahima Hotel Semarang,JAYUS SEMARANG,5.0,Good place
Mahima Hotel Semarang,Pus Pita,5.0,Nice place
Mahima Hotel Semarang,antonius aditya,5.0,Nice place
Mahima Hotel Semarang,hery sehastian,3.0,"(Translated by Google) Stopped by this hotel 2 weeks ago just for the night just to continue the trip to Jakarta. the location is very close to the toll road. The cleanliness of the room is lacking, you can get a room where the bathroom still has hair marks on the wall and the toilet has traces of people defecating. Until the hotel at night, I want to take a shower and sleep right away but I still have to deal with a toilet like that. (Original) Mampir ke hotel ini 2 minggu lalu cm buat bermalam aja buat lanjut trip ke Jakarta. lokasinya bgs dekat dgn tol. Kebersihan kamarnya kurang, dapat kamar yg kamar mandinya msh ada bekas rambut di dinding dan toiletnya ada bekas orang buang air besar. Sampe hotel ud malam mau lsng mandi dan tdr tapi msh harus berurusan dgn toilet yg seperti itu."
Mahima Hotel Semarang,Veren Sasmita,5.0,"(Translated by Google) quite clean and comfortable, toiletries at that time lacked shampoo, but luckily I brought my own, towels don't smell, but don't smell good either, the water heater goes up and down the water temperature, so sometimes it's too hot, sometimes just right, then it gets cold and keeps getting hot again, even though the faucet is not shifted (Original) cukup bersih dan nyaman, toiletries saat itu kurang shampoo, tapi untung bawa sendiri sih, handuk tidak bau, tapi tidak wangi juga, water heater naik turun suhu airnya, jd kadang terlalu panas, kadang pas, nanti dingin terus panas lagi, padahal kran nya tidak digeser"
Mahima Hotel Semarang,Ardi Santoso,5.0,"(Translated by Google) The hotel is clean, still new and comfortable The location is quite strategic, Lots of plus points: 1. In the morning near the hotel there are those who sell typical Semarang snacks which are rarely found in Jakarta 2. The room is clean, comfortable to rest 3. The parking lot is quite spacious 4. The hotel staff is also friendly and always maintains the cov19 protocol *even though we already consider this to be endemic (Original) Hotelnya bersih, masih baru dan nyaman Lokasi cukup strategis, Banyak bgt poin plusnya : 1. Kalau pagi dekat hotel ada yg berjualan jajanan ciri khas semarang yg jarang bgt ada di jakarta 2. Kamarnya bersih, nyaman untuk istirahat 3. Parkirannya cukup luas 4. Staff hotel juga ramah dan selalu menjaga protokol cov19 *walaupun kami sdh menganggap ini sbg endemic"
Mahima Hotel Semarang,Allen Stevano,4.0,"(Translated by Google) The hotel is okay, still new, breakfast is also good, only the location is quite far from the city center and access to traffic jams against trucks. The hot water is off but still can be a little warm. (Original) Hotelnya Oke masih baru, sarapan juga enak, hanya lokasi cukup jauh dari pusat kota dan akses macet lawan truck2. Air panasnya mati tapi masi bisa sedikit hangat."
Mahima Hotel Semarang,Darul A,4.0,"(Translated by Google) The room/room is okay for an inn of its class.. but for smokers it is not facilitated on the upper floor, space for relaxing too.. (Original) Room/kamarnya oke lah untuk penginapan sekelasnya..tp untuk perokok kurang difasilitasi di upper floor nya, ruang buat nyantainya juga.."
Mahima Hotel Semarang,Yoko,5.0,"(Translated by Google) Only visited at the wedding reception, at first glance the hotel is clean, the new building is still good (Original) Hanya berkunjung saat resepsi pernikahan, sekilas hotel bersih, bangunan baru jd msh bagus"
Mahima Hotel Semarang,Desy Ayu,5.0,"(Translated by Google) Came here at your brother's wedding last Saturday, the food was okay, the place was clean, spacious, comfortable, the bathroom was also clean. (Original) Datang kesini di pernikahan saudara kemarin sabtu, makanan oke semua,,, tempat bersih, luas, nyaman, kamar mandi juga bersih."
Mahima Hotel Semarang,Mas Danu,5.0,"(Translated by Google) The hotel is still new, so it's very clean. The service is very friendly, from the moment you arrive the door is opened by security and greets you in a friendly manner. Greeted by a friendly receptionist too. PSN extra slipper and borrowed scissors by phone, it didn't even take 5 minutes to deliver. The minus: the sink is a bit less absorbing the water, I want to order lunch at 2 pm but the restaurant is only ready at 4 pm. And the location is a bit far from the mini market, so if you need snacks, just order online. The location is a bit far from the iconic places of Semarang: Sampokong, Lawangsewu, Kotalama (about 100 thousand back and forth by car online) (Original) Hotelnya masih baru, jadi bersih banget. Pelayanannya ramah banget, dari sejak Dateng dibukakan pintu sama security dan menyapa dengan ramah. Disambut dengan receptionist yang ramah juga. PSN extra slipper dan pinjem gunting by phone lsg dianter ga sampe 5 menit. Minusnya : wastafel agak kurang lancar nyerap airnya, mau pesan makan siang jam 2 siang tapi resto nya baru ready jam 4 sore.Dan lokasinya agak jauh dari minimarket, jadi kalau butuh cemilan order online aja dech. Lokasinya agak jauh dari tempat iconicnya Semarang :sampokong,lawangsewu,Kotalama (sekitar 100 ribu bolak balik by car online)"
Mahima Hotel Semarang,Nana,4.0,"(Translated by Google) Check in at 8 pm, transit otw ketapang, deluxe without breakfast, family with 2 children. New hotel, location near toll, quiet. Soft mattress, ok hot water, ok ac, exhaust is a bit noisy. Room on the 2nd floor, there is no bell boy to help carry things up and down (Original) Check in jam 8 malam, transit otw ketapang, deluxe tanpa breakfast, keluarga dgn 2 anak. Hotel baru, lokasi dekat tol, tenang. Kasur empuk, air panas ok, ac ok, exhaust agak berisik. Kamar lt 2, tdk ada bell boy yg bantu bawa barang naik turun"
Mahima Hotel Semarang,Mee Muni,5.0,"(Translated by Google) Duh fell in love with this modern minimalist style hotel. I like buildings with lots of glass. Looks cool. It is located on Jl. Raya Hanuman no. 62 Semarang. Its location which is not on the main road makes the atmosphere cool and calm. I chose the one that included breakfast because it was a bit far for food vendors. The hotel is clean and the breakfast is very varied, 2 nights staying here even the menu changes. The waiter was quick and friendly. Good job guys (Original) Duhh jatuh cinta deh dengan hotel bergaya modern minimalis ini. Sukak dengan bangunan yang banyak kacanya. Keliatan ademmm. Letaknya di Jl. Raya Hanoman no. 62 Semarang. Lokasinya yang bukan di jalan utama membuat suasana adem dan tenang. Aku pilih yang include sarapan karena memang untuk penjual makanan agak jauh. Hotelnya bersih dan sarapan nya sangat bervariasi, 2 malam stay disini pun menunya ganti. Pelayannya pun sigap dan ramah. Good job guys"
Mahima Hotel Semarang,Yunita Artdina,5.0,"(Translated by Google) the location of the hotel is near the toll road. The car park is quite spacious. Located in a safe residential area. Industrial minimalist building. Clean toilet room. Soft comfortable mattress, fragrant pillowcase. Warm bath water. Responsive, polite, helpful service. Breakfast is quite good and quite varied. Overall satisfied staying here. (Original) lokasi hotel dekat jalan tol. Parkiran mobil cukup luas. Berada dalam lingkungan perumahan yg aman. Bangunan minimalis industrialis. Kamar toilet bersih. Kasur nyaman empuk, sarung bantal harum. Air mandi hangat. Pelayanan responsif, sopan, helpful. Sarapan cukup enak dan cukup variatif. Overall puas mnginap disini."
Mahima Hotel Semarang,Amalia Hayati,5.0,"(Translated by Google) The hotel feels still new, so the sheets and towels still look clean white so you don't have to worry about resting. I suggest bringing your own toiletries because the hotel provides standard ones. Check in and check out fast. Will return again to this hotel when I go to Semarang. (Original) Hotel terasa masih baru, jd seprei selimut handuk msh keliatan putih bersih jd gak khawatir buat istirahat. Sy sarankan bawa kebutuhan mandi sendiri krn hotel menyediakan yg standar. Check in dan check out cepat. Bakal balik lg ke hotel ini klo ke semarang."
Mahima Hotel Semarang,Alifia Intan,5.0,"(Translated by Google) First time staying at the Mahima hotel because of my friend's wedding. The rooms are clean, smell good, not too cramped & lots of space for hanging clothes the staff is also friendly, the food is really good, cheap again like a star hotel! I don't know, I think it's just delicious with a price of 350 plus breakfast & getting lots of top facilities, it's clear that Mahima hotel is worth trying 👍🏻 (Original) Pertama kali nginep hotel Mahima krn wedding sodara. Kamarnya bersih, wangi, gak terlalu sempit & banyak space buat cantolin baju 😁 stafnya juga ramah2, terus makanannya enak banget, murah lagi sekelas hotel berbintang! Gak tau deh, menurut saya enak enak aja 😁 dengan harga 350an plus breakfast & dapet banyak fasilitas yg top, jelas hotel Mahima worth to try sih 👍🏻"
Mahima Hotel Semarang,INR,4.0,(Translated by Google) It's quite comfortable to stay here. Although not so close to the city center. In-room refrigerators are only provided in certain types of rooms. The facilities are good. Friendly service. The breakfast is delicious. (Original) Cukup nyaman nginap disini. Walaupun ga begitu dekat dengan pusat kota. Kulkas di kamar hanya disediakan di type kamar-kamar tertentu. Fasilitasnya bagus. Pelayanan ramah. Breakfastnya enak.
Mahima Hotel Semarang,Desy Natalia,4.0,"(Translated by Google) Affordable prices, spacious parking area, only sometimes there are ants in the room and breakfast is not refilled when it's run out, but overall it's good (Original) Harga terjangkau, tempat parkir luas, cuma kadang suka ad semut di kamar dan breakfast tidak diisi ulang jika sudah habis, tp overall bagus"
Mahima Hotel Semarang,boby boy28,5.0,"(Translated by Google) Comfortable, quiet, clean, My family and I stayed 2 nights, friendly service, fast check in & check out process. Recommended (Original) Nyaman, tenang, bersih, Saya dan keluarga stay 2 Malam, pelayanan ramah, proses check in & check out cepat. Recommended"
Mahima Hotel Semarang,Rizki Yudha,3.0,"(Translated by Google) Coincidentally, my son and I spent the night there 3 nights 4 days. Of course there were quite a lot of clothes. It's a shame that on the 3rd and 1st floors there are no closets. Others are good👍🏾 (Original) Kebetulan saya dan anak bermalam di sana 3 malam 4 hr.tentu bawaan baju cukup byk.sedikit di sayang di lantai 3 maupun 1 tdk sedia almari.lain lain bagus👍🏾"
Mahima Hotel Semarang,Jodohmu,5.0,"(Translated by Google) I've stayed here a few times, it's worth it, the place is clean, neat, comfortable, the price is pretty good, I've never gotten a cheap price but only once because there's a promo (Original) beberapa kali ngiep sini, worth it sih , tempat bersih, rapi , nyaman , harga lumayan lah ya , pernah dapat harga murah tapi cuma sekali aja karna lagi ada promo"
Mahima Hotel Semarang,Bang awe76,5.0,"(Translated by Google) Comfortable, cheap, clean, the service is good, tomorrow when you go to Semarang, God willing, just stay here again (Original) Nyaman, murah, bersih, pelayanan nya bagus, bsok² klo ke semarang, insya Allah nginep nya disini lagi aja"
Mahima Hotel Semarang,Azahra Arum Nurulchusna,3.0,"(Translated by Google) The hall can be used for weddings, but it's a bit small, maybe not all of those who have jobs are open. So less comfortable for guests. (Original) Hall bisa untuk nikahan tapi rada kecil, mungkin yang punya kerja gak dibuka semua. Jadi kurang nyaman untuk tamu."
Mahima Hotel Semarang,Maryanto Sadiatmoro,5.0,"(Translated by Google) The place is comfortable, clean, good for lobbying/chatting. friendly staff, spacious parking (Original) Tempatnya nyaman,bersih,enak untuk lobi/ngobrol. petugasnya ramah,parkir luas"
Mahima Hotel Semarang,Ffun Family,3.0,"(Translated by Google) The advantages of the hotel we have ever felt: 1. Hotel building: The appearance of the building is good. The first time I saw it, it definitely felt wow.. it was unique and nice.. in my opinion, after staying 2×, this hotel is really good, unique, homey. 2. Staff: The staff is friendly, we once asked for help to clean the room because the floor felt really dusty, changed the sheets/blankets, served well and remained friendly. 3. Protocols during the covid 19 pandemic: First stay a few months ago, when we arrived, we were sprayed with disinfectant and checked body temperature. But yesterday it wasn't. in front of the lobby door yesterday there happened to be no staff. Maybe because it's too late. Check-in time, look at the ballpoint pen for the customer in the UV light. 4. Room: The interior design of the room is pretty good, minimalist, once you enter you feel calm. The lights are subdued, so when you enter the room, you feel the ambiance is sleepy. Overall cleanliness is decent. Weaknesses we've experienced: 1. Room: the floor of the room feels dusty, there is no cupboard, only a clothes hanger rack. Sheets/blankets sometimes have stains on them. So ask for a change. 2. Room bathroom: a bit cramped and a little less clean on the floor and rack of amenities. It looks like old. On the floor where there is a toilet seat, there is no water drain hole. So, for example, if you get sprayed by a jet shower in the toilet or when you use the sink, there happens to be water spilled on the floor, the water is swollen on the floor, it can't go down the hole. The shower area is okay. The shower has a shower planted above, plus a faucet. At that time, how come there was no mat + towel? So ask the officer and then give it. The hot water at that time didn't work. Then told the receptionist, it finally turned on. 3. There were no mats and towels at that time, ask first. 4. Breakfast: The place to eat breakfast is on the lobby floor, a cafe table which is also open to the public. The menu has quite a variety, not much, just when we wanted to eat, it turned out that all the menus were cold, not warm at all. Even though underneath there is a food warmer using spiritus. But the condition is off. So after taking the food, I asked the staff to warm the food using the microwave. All the food was open, and there were some flies. The taste of the food is only 1 or 2 menus which are quite good. The others, in my opinion, are lacking. Bread toaster not working. Damaged Drink less 5. Inadequate facilities (Original) Kelebihan hotel yg pernah kita rasakan: 1. Bangunan hotel: Penampakan bangunannya bagus. Pertama lihat pasti berasa wow.. unik dan bagus ya.. pendapatku setelah menginap 2×, nih hotel benernya bagus, unik, homey. 2. Staf: Stafnya ramah, kita pernah minta tolong bersihkan kamarnya krn lantai berasa ngeres berdebu, ganti sprei/selimut, dilayani dgn baik dan tetap ramah. 3. Protokol di masa pandemi covid 19: Pertama menginap bbrp bulan lalu, begitu datang, kita disemprot desinfektan dan cek suhu badan. Tp yg kemaren ini nggak. di depan pintu lobby kemaren kebetulan ga ada staf. Mungkin krn sdh kemaleman. Waktu check in, lihat bolpoin untuk customer disinar lampu UV. 4. Kamar: Design interior kamar lumayan bagus, minimalis, begitu masuk berasa tenang. Lampunya kalem, jd masuk kamar berasa ambience ngantuk nya. Kebersihan secara keseluruhan lumayan. Kekurangan yg pernah kita alami: 1. Kamar: bagian lantai kamar berasa berdebu, gak ada lemari hanya rak gantungan baju. Sprei/selimut kadang pas dapet yg ada nodanya. Jd minta ganti. 2. Kamar mandi kamar: agak sempit dan agak kurang bersih di bagian lantai dan rak amenities. Kesannya seperti lawas. Di bagian lantai yg ada toilet duduknya, Tidak ada lubang saluran airnya. Jadi misal kena air semprotan jet shower toilet atau saat memakai wastafel, kebetulan ada air yg tumpah di lantai, airnya nyembeng di lantai, ga bisa turun ke lubang. Area shower oke lah. Showernya shower tanam di atas, plus kran. Waktu itu kok nggak ada keset + handuk ya? Jd minta ke petugasnya trus dikasih. Air angetnya waktu itu ga berfungsi. Lalu bilang ke resepsionis, akhirnya nyala. 3. Keset dan handuk waktu itu gak ada, minta dulu. 4. Breakfast: makan breakfast tempatnya ya di lantai lobby, meja cafe yg juga dibuka utk umum. Menunya ada lumayan macamnya, gak banyak, cuma pas kita mau makan, eh ternyata, semua menu kondisi sudah dingin, ga anget sama sekali. Padahal di bawahnya ada penghangat makanan pake spiritus. Tapi kondisi off. Jadi setelah ambil makanan, aku minta tolong petugasnya untuk hangatin makanan pake microwave. Semua makanan terbuka, dan ada bbrp lalat. Rasa makanan hanya 1 atau 2 menu yg lumayan enak. Yg lainnya menurutku kurang ya rasanya. Bread toaster gak berfungsi. Rusak Minumnya kurang 5. Fasilitas kurang memadai"
Mahima Hotel Semarang,Bee_ky27 Bee,4.0,(Translated by Google) Nice hotel Very comfortable Clean the room Very good service (Original) Hotel yg bagus Nyaman banget Bersih kamarnya Pelayananya sangat baik
Mahima Hotel Semarang,Tiwik,5.0,"(Translated by Google) Clean, comfortable, friendly, good menu. Very suitable for holidays in Semarang (Original) Bersih, nyaman, ramah, menu enak. Cocok bnget utk liburan di Semarang"
Mahima Hotel Semarang,Azzavirtium,3.0,(Translated by Google) Not bad place on the outskirts of Semarang city ... The road to the hotel from the airport is jammed during working hours (Original) Lumayan tempat dipinggir kota Semarang ... Jalan kearah hotel dari bandara macet klo jam kerja
Mahima Hotel Semarang,Erlita Yuni Isnamurti,5.0,"(Translated by Google) The hotel is clean, safety for children, in the room there is an air purifier. The air conditioner is quite cold for the super hot Semarang weather. Food is also delicious & affordable. Success & always keep the main thing clean Mahima. Love it (Original) Hotel nya bersih, safety utk anak2, dalam kamar sudah ada air purifier. AC lumayan dingin untuk cuaca Semarang yg super hot. Makanan juga enak & terjangkau . Sukses & selalu jaga kebersihan pokoknya Mahima. Love it 💕"
Mahima Hotel Semarang,Sas Sasongko,5.0,(Translated by Google) Strategic place beside Hanoman street. Many rooms are available in a modern style equipped with a restaurant. Here there is a hall that can be used for wedding celebrations. Luss parking space is only limited for motorbike parking and there is no shelter. Rooms for tour groups are also okay. (Original) Tempat strategis dipinggir jalan Hanoman. Banyak kamar tersedia denan gaya modern dilengkapi dengan restooran. Disini aada hall yang bisa digunakan untuk hajatan pernikahan. Tempat parkir luss hanya saja untuk parkir sepeda motor terbatas dan tidak ada shelteernya. Kamar untuk rombongan wisata juga oke.
Mahima Hotel Semarang,aditya moonstrike,4.0,(Translated by Google) cafe taste hotel. very good for those who want to cafe or meeting. food and drink is very good. recommended to visit. (Original) hotel rasa cafe. bagus banget buat yg mau ngafe atau meeting. makanan dan minuman sangat enak. recomended buat dikunjungi.
Mahima Hotel Semarang,heyd universe,4.0,(Translated by Google) Clean place. Good service. Delicious food. (Original) Tempat bersih. Pelayanan baik. Makanan enak.
Mahima Hotel Semarang,Violita Angelina,5.0,"(Translated by Google) Located in the West Semarang area, this Mahima hotel is highly recommended. It has a karak that is relatively close to the Ahmad Yani international airport in Semarang. With a relatively affordable price, we can already get facilities that are more than just decent. An access card that allows only visitors who stay at the hotel to have access to the room by using an elevator or evacuation stairs. Security is very guaranteed, because not just anyone who is not a staying guest can access to the top floor. The breakfast menu is very varied, complete, and has a 5-star taste. Starting from rice with a choice of various side dishes, bread with a choice of various jams, various fruit juices, various cereals with milk, salad, pudding, fruit, and you can also request Ommellet. Worth to try. Parking is also adequate, quite spacious. The progress is very very good, every time a visitor enters, they will be directed to wash their hands or use a hand sanitizer, then self-check body temperature, then they will be fogged again with disinfectant by the security officer at the entrance. Every utensil, pens, tables and chairs in the restaurant, as well as all objects in the room are always sterilized and marked with sterilization. Highly recommended (Original) Terletak di daerah Semarang Barat, hotel Mahima ini sangat recommended. Memiliki karak yang tergolong dekat dari bandara internasional Ahmad Yani Semarang. Dengan harga yang relatif terjangkau, kita sudah bisa mendapatkan fasilitas yang lebih dari sekedar layak. Kartu akses yang memungkinkan untuk pengunjung yang stay di hotel saja yang bisa memiliki akses menuju ke kamar dengan menggunakan lift maupun tangga evakuasi. Keamanan sangat terjamin, karena tidak sembarang orang yang bukan tamu stay dapat akses naik ke lantai atas. Untuk menu breakfast sangat variatif, lengkap, dan rasa bintang 5. Mulai dari nasi dengan pilihan bermacam lauk, roti dengan pilihan bermacam selai, aneka jus buah, bermacam sereal dengan susu, salad, pudding, buah, dan juga bisa request Ommellet. Worthed to try. Parkir juga memadai, cukup luas. Prokes sangat sangat baik, setiap ada pengunjung masuk akan diarahkan cuci tangan atau memakai hand sanitizer, lalu self-check suhu badan, lalu akan di fogging lagi dengan desinfektan oleh petugas security di pintu masuk. Setiap peralatan, pulpen, meja dan kursi di resto, maupun seluruh benda di kamar selalu sudah di sterilisasi dan diberi tanda bahwa sudah disterilkan. Very recommended ✅✅✅"
Mahima Hotel Semarang,martin maulana,5.0,(Translated by Google) Clean Rooms...Sreril and Fragrant....Comfortable Atmosphere...Standard Breakfast Recommend (Original) Kamar Bersih...Sreril dan Wangi....suasana Nyaman...sarapan Standar Recommend
Mahima Hotel Semarang,Dicky Adi Kurniawan,5.0,"(Translated by Google) I remember a few days ago eating with my wife and children, the restaurant was really good. 3 star hotel services like 5 star hotel services salute the waiter. Thank you to Mr. Bagas and Mr. Bar, who wear glasses, for providing extraordinary service. It's really recommended to eat here, the menu is a lot and the cleanliness is well maintained, just fine! Always success Mahima Hotel Semarang. (Original) Keinget beberapa hari lalu makan sama istri dan anak dia restonya mantep pokonya. Pelayanan hotel bintang 3 seperti pelayanan hotel bintang 5 salut sama mas waiter nya. Terimakasih buat mas Bagas dan mas bar yang pakai kaca mata karena telah memberikan pelayanan yang luar biasa. Rekomendid banget buat makan disini menunya banyak dan juga kebersihan terjaga dengan baik mantap pokoknya! Sukses selalu Mahima Hotel Semarang."
Mahima Hotel Semarang,Yuli Pat,4.0,(Translated by Google) A comfortable hotel for rest or employee training because it is located on a street that is not noisy and easy to reach (Original) Hotel yg nyaman utk istirahat atau training pegawai karena letaknya di jalan yg tidak bising dan mudah dijangkau
Mahima Hotel Semarang,madiharasha,5.0,"(Translated by Google) Great place to stay 😍 comfy & aesthetic, really good service, before entering you must wash your hands. Staying here for 2 nights, it's okay hihi (Original) Great place for stay 😍 comfy & aesthetic, pelayanan bagus bangeeet, sebelum masuk wajib cuci tangan. Nginep disini 2 malen betaah hihi"
